url,twitter_post,twitter_approved,twitter_uploaded,linkedin_post,linkedin_approved,linkedin_uploaded
https://florisera.com/links/,,,,,,
https://florisera.com/display-cupboard-makeover/,,,,,,
https://florisera.com/analog-layout-design-rules/,,,,,,
https://florisera.com/the-basics-of-ferromagnetism/,,,,,,
https://florisera.com/an-introduction-to-skyrmions/,,,,,,
https://florisera.com/ferromagnetic-resonance-fmr-spectroscopy/,,,,,,
https://florisera.com/spin-pumping-an-introductory-overview/,,,,,,
https://florisera.com/tunneling-effect-at-semiconductor-oxide-interfaces/,,,,,,
https://florisera.com/giant-gmr-and-tunnel-tmr-magnetoresistance/,,,,,,
https://florisera.com/micromagnetics-an-overview/,,,,,,
https://florisera.com/llg-equation/,,,,,,
https://florisera.com/how-to-design-an-operational-transconductance-amplifier/,,,,,,
https://florisera.com/introduction-to-capacitors/,,,,,,
https://florisera.com/essential-tools-for-electronic-hobbyist/,,,,,,
https://florisera.com/change-color-with-a-button-click/,,,,,,
https://florisera.com/resistor-color-code-online-tool/,,,,,,
https://florisera.com/pid-control-on-pic-microcontroller/,,,,,,
https://florisera.com/pid-tuning-methods/,,,,,,
https://florisera.com/3-phase-ac-systems/,,,,,,
https://florisera.com/types-of-ac-motors-working-principles/,,,,,,
https://florisera.com/brushless-vs-brushed-dc-motors-which-to-choose/,,,,,,
https://florisera.com/controlling-stepper-motors-with-microcontrollers/,,,,,,
https://florisera.com/spi-for-microcontrollers/,,,,,,
https://florisera.com/i2c-for-pic-microcontrollers/,,,,,,
https://florisera.com/using-pwm-in-pic16f877a/,,,,,,
https://florisera.com/pic16f877a-timer1-tutorial/,,,,,,
https://florisera.com/pic16f877a-timer0-tutorial/,,,,,,
https://florisera.com/pic-microcontrollers-timers/,,,,,,
https://florisera.com/interfacing-4x3-keypads-with-pic16f877a/,,,,,,
https://florisera.com/control-possibilities-with-pic16f87/,,,,,,
https://florisera.com/interfacing-pic16f877a-with-transistors-part-1-of-3/,,,,,,
https://florisera.com/connecting-pic16f877a-with-an-lcd-screen/,,,,,,
https://florisera.com/connecting-pic16f877a-with-7-segment-display/,,,,,,
https://florisera.com/74hc595-shift-register-interfacing-with-pic16f877a/,,,,,,
https://florisera.com/connecting-pic16f877a-with-leds/,,,,,,
https://florisera.com/interfacing-pic16f877a-with-mosfets/,,,,,,
https://florisera.com/pic16f877a-timer2-tutorial/,,,,,,
